,ibns_20u,vgs_m1,name,type,time,OK
0,21.90057,0.6887067,tran_SchGtKttmmTtVt_29,Sch,Sun Dec  8 23:05:56 2024,True
1,20.66236,0.6869949,tran_SchGtKttmmTtVt_28,Sch,Sun Dec  8 23:05:56 2024,True
2,21.78134,0.6870432,tran_SchGtKttmmTtVt_27,Sch,Sun Dec  8 23:05:56 2024,True
3,20.7539,0.6855469,tran_SchGtKttmmTtVt_26,Sch,Sun Dec  8 23:05:55 2024,True
4,20.03631,0.6832723,tran_SchGtKttmmTtVt_25,Sch,Sun Dec  8 23:05:55 2024,True
5,21.17794,0.6892278,tran_SchGtKttmmTtVt_24,Sch,Sun Dec  8 23:05:55 2024,True
6,20.30572,0.6846248,tran_SchGtKttmmTtVt_23,Sch,Sun Dec  8 23:05:55 2024,True
7,19.955299999999998,0.6848677,tran_SchGtKttmmTtVt_22,Sch,Sun Dec  8 23:05:55 2024,True
8,19.29915,0.6825598,tran_SchGtKttmmTtVt_21,Sch,Sun Dec  8 23:05:55 2024,True
9,19.57537,0.6844137,tran_SchGtKttmmTtVt_20,Sch,Sun Dec  8 23:05:54 2024,True
10,20.945909999999998,0.6862409,tran_SchGtKttmmTtVt_19,Sch,Sun Dec  8 23:05:54 2024,True
11,20.15456,0.6838739,tran_SchGtKttmmTtVt_18,Sch,Sun Dec  8 23:05:54 2024,True
12,21.70036,0.6904173,tran_SchGtKttmmTtVt_17,Sch,Sun Dec  8 23:05:54 2024,True
13,20.1506,0.685432,tran_SchGtKttmmTtVt_16,Sch,Sun Dec  8 23:05:54 2024,True
14,20.55182,0.6833502,tran_SchGtKttmmTtVt_15,Sch,Sun Dec  8 23:05:54 2024,True
15,20.785230000000002,0.6870773,tran_SchGtKttmmTtVt_14,Sch,Sun Dec  8 23:05:53 2024,True
16,21.55044,0.6884629,tran_SchGtKttmmTtVt_13,Sch,Sun Dec  8 23:05:53 2024,True
17,19.91341,0.6846531,tran_SchGtKttmmTtVt_12,Sch,Sun Dec  8 23:05:53 2024,True
18,21.30218,0.6878377,tran_SchGtKttmmTtVt_11,Sch,Sun Dec  8 23:05:53 2024,True
19,20.73313,0.6839496,tran_SchGtKttmmTtVt_10,Sch,Sun Dec  8 23:05:53 2024,True
20,21.0092,0.6867568,tran_SchGtKttmmTtVt_9,Sch,Sun Dec  8 23:05:53 2024,True
21,22.51075,0.6895642,tran_SchGtKttmmTtVt_8,Sch,Sun Dec  8 23:05:53 2024,True
22,21.74783,0.6875689,tran_SchGtKttmmTtVt_7,Sch,Sun Dec  8 23:05:52 2024,True
23,20.608269999999997,0.684236,tran_SchGtKttmmTtVt_6,Sch,Sun Dec  8 23:05:52 2024,True
24,19.780250000000002,0.6852942,tran_SchGtKttmmTtVt_5,Sch,Sun Dec  8 23:05:52 2024,True
25,19.89588,0.6826581,tran_SchGtKttmmTtVt_4,Sch,Sun Dec  8 23:05:52 2024,True
26,24.09748,0.6937203,tran_SchGtKttmmTtVt_3,Sch,Sun Dec  8 23:05:52 2024,False
27,20.97259,0.6887512,tran_SchGtKttmmTtVt_2,Sch,Sun Dec  8 23:05:52 2024,True
28,21.34364,0.6861037,tran_SchGtKttmmTtVt_1,Sch,Sun Dec  8 23:05:51 2024,True
29,21.25803,0.6891831,tran_SchGtKttmmTtVt,Sch,Sun Dec  8 23:05:51 2024,True
